"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell"
"SLC25A46",0.269734157943755,0.28282228180283,0.16134263667349,0.192609184477428
"STARD4",0.114787906090332,0.202955125735878,0.0598397417260978,0.0985020308514595
"PGGT1B",0.159128459874677,0.170163831876843,0.147339496757737,0.152997234205382
"F2RL2",0.0023034975999508,0,0.00106301366406029,0.00127840579216059
"CCDC112",0.0484728655380832,0.03605395196217,0.0668184190346205,0.070689829490985
"ANKRD33B",0.0167688911252769,0.0126314243990042,0.00653903038991954,0.0146406260370616
"CMBL",0.000815937392619841,0.000667748715448183,0.00112857999680917,0.00517754884292352
"C5orf63",0.0511667402520216,0.047281667517616,0.0481059474974432,0.0469024610137065
"PRRC1",0.149607795015155,0.189560040825987,0.119786656559472,0.148645720348963
"F2RL1",0.0306187958073649,0.0100054987714961,0.0232058715379854,0.00479743152048898
"AGGF1",0.210435396444858,0.243289602690982,0.178372038377298,0.170723761798499
"WDR41",0.0610928303936967,0.132389520625861,0.0423309575030953,0.106235256947011
"PRDM9",0,0,0.00052764821125961,0
"NDUFS4",0.623259557146957,0.567169614786157,0.534580082425181,0.544560685918822
"SCGB3A2",0.00105700604197082,0,0,0
"SPINK1",0.00143870788286362,0,0.000548874030894626,0
"ESM1",0.00280257489446401,0.0172877580384912,0.00693565849730955,0.0223274842706879
"GRPEL2",0.0929896273715466,0.121641911267788,0.075420034694378,0.0725477464602348
"CDC20B",0.00098671333598486,0,0,0
"ARSK",0.0572636321392092,0.0474540692775359,0.0529725660088533,0.0559428692228151
"RHOBTB3",0.0258687182705609,0.00772764396239023,0.0191506758724791,0.0182470049098868
"GPX8",0.000366653488392769,0,0.000558849438142989,0
"TIGD6",0.0189348650583256,0.0097632533108773,0.0153023222314141,0.015281780660949
"SERINC5",0.356311232962195,0.207738471763137,0.692853691477585,0.359961134461603
"ENPP6",0.000760295392188772,0,0,0
"CAGE1",0.000425031938341978,0.00164371699886972,0,0
"CASP3",0.512296346916156,0.528331285154985,0.359643785504091,0.316373401400059
"PRIMPOL",0.0392684659836962,0.0574309300144528,0.0533941565741018,0.0639744690694441
"ERAP1",0.179877842709512,0.249722876739788,0.19838257497441,0.239902705762076
"ERAP2",1.05950633842093,0.619264322378715,0.940200118874998,0.668825892875922
"CMYA5",0.000937675497014648,0,0.00100102010264284,0
"CFAP97",0.353590766115721,0.364400733012646,0.258433324606338,0.234457926151178
"RICTOR",0.494433542353782,0.497006196825748,0.633760330695793,0.645859068611643
"PAPD4",0.284059756244927,0.287959972511557,0.353774275145138,0.315474919118513
"EBF1",0.000306025103658544,0,0,0
"ANKRA2",0.152612907229905,0.166080017118408,0.261129882822614,0.310171306884302
"UBLCP1",0.216659483114018,0.253900895222257,0.182879504870357,0.211626786637643
"UTP15",0.120730169685432,0.122243985572766,0.0686579004689679,0.0655832358014725
"TLR3",0.0022710223498034,0.00601481128301303,0.0101275112463357,0.0336786553622111
"KLKB1",0.00103800964443949,0.0027450906431483,0.00462990679073693,0.00228892523352997
"NSA2",1.7694858460259,1.59293075109501,1.47165070361484,1.22328156021179
"GFM2",0.0902032570693672,0.0812824001833545,0.0785570740495852,0.0916253175841073
"TERT",0.00408833783027174,0.000826750744241581,0.00170395629600919,0
"CCDC127",0.152455331314397,0.167844174864229,0.107918443151259,0.151621855820987
"LINC01600",0.00044176064965086,0,0,0
